site ,lat,lon
Artist,"33, 15.513","119, 28.131"
Bachelor ,"33, 15.285","119, 34.016"
Cissi,"33, 15.907","119, 29.175"
Cosign ,"33, 16.500","119, 34.613"
Red Eye,"33, 16.269","119, 33.593"
Tender  ,"33, 16.984","119, 32.154"
Tranquility,"33, 15.952","119, 29.898"
